Country,Population,Land Size (km2),Crime Index,GDP ($US)
Anguilla (UK),"15,916",90,20.1,0.88
Antigua and Barbuda,"94,539",440,56.39,1.95
Aruba (Netherlands),"106,230",180,31.39,3.83
Bahamas,"413,834","10,010",62.4,13.88
Barbados,"282,141",430,47.9,6.22
Belize,"413,534","22,810",53.1,3.22
British Virgin Islands (UK),"31,643",150,39.17,0.5
Caribbean Netherlands (Netherlands),"27,206",328,31.39,0.65
Cayman Islands (UK),"69,578",240,31.65,0.6
Cuba,"11,185,181","106,440",31.6,110.62
Curaçao (Netherlands),"192,491",444,53.81,0.33
Dominica,"73,193",750,53.58,0.7
Dominican Republic,"11,379,984","48,320",61.2,120.63
Grenada,"126,511",340,26.5,1.31
Guadeloupe (France),"396,075","1,690",39.26,9.97
Guyana,"816,516","196,850",69,16.33
Haiti,"11,790,906","27,560",76.92,25.99
Jamaica,"2,825,168","10,830",67.8,18.76
Martinique (France),"366,717","1,060",77.31,9.45
Montserrat (UK),"4,379",100,6.62,0.17
Puerto Rico (US),"3,264,270","8,870",62,117.52
Saint Barthélemy (France),"11,006",21,14,0.49
Saint Kitts and Nevis,"47,798",260,40.02,1.07
Saint Lucia,"180,509",610,61.58,2.47
Saint Martin (France),"32,198",53,28.57,0.77
Saint Vincent and the Grenadines,"103,691",390,37.78,1.04
Sint Maarten (Netherlands),"44,263",34,26.33,1.19
Suriname,"625,818","156,000",53.03,3.54
Trinidad and Tobago,"1,536,458","5,130",70.83,27.89
Turks and Caicos Islands (UK),"46,234",950,42.04,1.17
United States Virgin Islands (US),"98,425",350,60.9,4.26
,,,,
,,,,
